base_asset,compare_asset,label,coint_t,p_value,hedge_ratio
AAVE/USD,SUSHI/USD,3,-5.113336301616202,0.00010135062860640145,24.714543100154383
MATIC/USD,SOL/USD,0,-4.372486349584816,0.001968716821134291,0.007103739097097478
GRT/USD,SUSHI/USD,3,-4.327414890160924,0.0023195945504849145,0.06969720180299671
YFI/USD,SUSHI/USD,3,-4.220319778655626,0.003397438410579468,1691.6621247696048
AAVE/USD,GRT/USD,3,-4.203743408380187,0.003600465806331293,317.3441057161339
LINK/USD,BCH/USD,3,-3.4215920657242727,0.04000822727837033,0.03763463928784869
AVAX/USD,BCH/USD,3,-3.3975007536082615,0.042628818921813756,0.049708299358602936
